x[m], T[K]
7.43947,300
7.44346,300
7.44745,300
7.45144,300
7.45542,300
7.45941,300
7.4634,300
7.46739,300
7.47137,300
7.47536,300
7.47935,300
7.48334,300
7.48732,300
7.49131,300
7.4953,300
7.49929,300
7.50327,300
7.50726,300
7.51125,300
7.51524,300
7.51922,300
7.52321,300
7.5272,300
7.53119,300
7.53517,300
7.53916,300
7.54315,300
7.54714,300
7.55112,300
7.55511,300
7.5591,300
7.56309,300
7.56707,300
7.57106,300
7.57505,300
7.57904,300
7.58302,300
7.58701,300
7.591,300
7.59499,300
7.59897,300
7.60296,300
7.60695,300
7.61094,300
7.61492,300
7.61891,300
7.6229,300
7.62689,300
7.63087,300
7.63486,300
7.63885,300
7.64284,300
7.64682,300
7.65081,300
7.6548,300
7.65879,300
7.66277,300
7.66676,300
7.67075,300
7.67474,300
7.67872,300
7.68271,300
7.6867,300
7.69069,300
7.69467,300
7.69866,300
7.70265,300
7.70664,300
7.71062,300
7.71461,300
7.7186,300
7.72259,300
7.72657,300
7.73056,300
7.73455,300
7.73854,300
7.74252,300
7.74651,300
7.7505,300
7.75449,300
7.75847,300
7.76246,300
7.76645,300
7.77044,300
7.77442,300
7.77841,300
7.7824,300
7.78639,300
7.79037,300
7.79436,300
7.79835,300
7.80234,300
7.80632,300
7.81031,300
7.8143,300
7.81829,300
7.82227,300
7.82626,300
7.83025,300
7.83424,300
7.83822,300
7.84221,300
7.8462,300
7.85019,300
7.85417,300
7.85816,300
7.86215,300
7.86614,300
7.87012,300
7.87411,300
7.8781,300
7.88209,300
7.88607,300
7.89006,300
7.89405,300
7.89804,300
7.90202,300
7.90601,300
7.91,300
7.91399,300
7.91797,300
7.92196,300
7.92595,300
7.92994,300
7.93392,300
7.93791,300
7.9419,300
7.94589,300
7.94987,300
7.95386,300
7.95785,300
7.96184,300
7.96582,300
7.96981,300
7.9738,300
7.97779,300
7.98177,300
7.98576,300
7.98975,300
7.99374,300
7.99772,300
8.00171,300
8.0057,300
8.00969,300
8.01367,300
8.01766,300
8.02165,300
8.02564,300
8.02962,300
8.03361,300
8.0376,300
