Reaction;rho_i_v;rho_i_c;A_i;E_i/R;psi;T_reac;;;;;;;;;;;;
;(lb/ft^3);(lb/ft^3);sec-1;(deg R);(---);(in R);;;;;;;;;;;;
A;1.873E+01;0.000E+00;1.200E+04;1.540E+04;3.000E+00;6.000E+02;;;;;;;;;;;;
B;5.619E+01;3.746E+01;4.480E+09;3.680E+04;3.000E+00;1.000E+03;;;;;;;;;;;;
C;9.988E+01;9.988E+01;0.00E+00;0.00;0.00;1.000E+04;The carbon fibers do not pyrolyse;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Note for CMA/FIAT;;Resin volume fraction = 0.5 (Gamma in CMA);;;;;rho = (1-phi) [gamma (rho_A + rho_B) - (1-gamma) rho_c];;;;;;;;;;;
users;;Composite porosity = 0.8 (phi in CMA);;;;;!!! phi must be used if non-zero (even if not shown in the publications);;;;;;;;;;;
;2.575E+03;9.634E+00;2.896E+01;1.113E+00;1.306E+04;6.832E-01;4.560E-04;;;;;4.635E+03;6.916E+00;5.616E+03;;;;
;2.600E+03;9.505E+00;3.121E+01;1.113E+00;1.381E+04;6.894E-01;4.455E-04;;;;;4.680E+03;7.455E+00;5.939E+03;;;;
;2.625E+03;9.368E+00;3.356E+01;1.112E+00;1.462E+04;6.956E-01;4.349E-04;;;;;4.725E+03;8.017E+00;6.287E+03;;;;
;2.650E+03;9.224E+00;3.597E+01;1.112E+00;1.549E+04;7.020E-01;4.242E-04;;;;;4.770E+03;8.591E+00;6.661E+03;;;;
;2.675E+03;9.074E+00;3.839E+01;1.112E+00;1.642E+04;7.083E-01;4.134E-04;;;;;4.815E+03;9.168E+00;7.061E+03;;;;
;2.700E+03;8.918E+00;4.075E+01;1.113E+00;1.741E+04;7.147E-01;4.025E-04;;;;;4.860E+03;9.733E+00;7.486E+03;;;;
;2.725E+03;8.759E+00;4.299E+01;1.113E+00;1.846E+04;7.211E-01;3.917E-04;;;;;4.905E+03;1.027E+01;7.936E+03;;;;
;2.750E+03;8.596E+00;4.504E+01;1.114E+00;1.956E+04;7.273E-01;3.809E-04;;;;;4.950E+03;1.076E+01;8.409E+03;;;;
;2.775E+03;8.433E+00;4.683E+01;1.114E+00;2.071E+04;7.334E-01;3.703E-04;;;;;4.995E+03;1.119E+01;8.903E+03;;;;
;2.800E+03;8.269E+00;4.830E+01;1.115E+00;2.190E+04;7.393E-01;3.599E-04;;;;;5.040E+03;1.154E+01;9.415E+03;;;;
;2.825E+03;8.107E+00;4.940E+01;1.116E+00;2.312E+04;7.449E-01;3.497E-04;;;;;5.085E+03;1.180E+01;9.940E+03;;;;
;2.850E+03;7.948E+00;5.010E+01;1.118E+00;2.437E+04;7.501E-01;3.399E-04;;;;;5.130E+03;1.196E+01;1.048E+04;;;;
;2.875E+03;7.794E+00;5.039E+01;1.119E+00;2.562E+04;7.549E-01;3.304E-04;;;;;5.175E+03;1.203E+01;1.102E+04;;;;
;2.900E+03;7.646E+00;5.027E+01;1.120E+00;2.688E+04;7.593E-01;3.213E-04;;;;;5.220E+03;1.201E+01;1.156E+04;;;;
;2.925E+03;7.504E+00;4.977E+01;1.122E+00;2.813E+04;7.632E-01;3.127E-04;;;;;5.265E+03;1.189E+01;1.210E+04;;;;
;2.950E+03;7.370E+00;4.893E+01;1.124E+00;2.937E+04;7.667E-01;3.045E-04;;;;;5.310E+03;1.169E+01;1.263E+04;;;;
;2.975E+03;7.243E+00;4.778E+01;1.125E+00;3.058E+04;7.698E-01;2.967E-04;;;;;5.355E+03;1.141E+01;1.315E+04;;;;
;3.000E+03;7.125E+00;4.638E+01;1.127E+00;3.175E+04;7.726E-01;2.894E-04;;;;;5.400E+03;1.108E+01;1.365E+04;;;;
;3.025E+03;7.014E+00;4.477E+01;1.129E+00;3.289E+04;7.750E-01;2.826E-04;;;;;5.445E+03;1.069E+01;1.414E+04;;;;
;3.050E+03;6.911E+00;4.303E+01;1.131E+00;3.399E+04;7.772E-01;2.762E-04;;;;;5.490E+03;1.028E+01;1.461E+04;;;;
;3.075E+03;6.817E+00;4.119E+01;1.133E+00;3.504E+04;7.792E-01;2.702E-04;;;;;5.535E+03;9.839E+00;1.507E+04;;;;
;3.100E+03;6.729E+00;3.933E+01;1.135E+00;3.605E+04;7.810E-01;2.645E-04;;;;;5.580E+03;9.393E+00;1.550E+04;;;;
;3.125E+03;6.649E+00;3.747E+01;1.137E+00;3.701E+04;7.827E-01;2.593E-04;;;;;5.625E+03;8.949E+00;1.591E+04;;;;
;3.150E+03;6.575E+00;3.566E+01;1.139E+00;3.793E+04;7.844E-01;2.544E-04;;;;;5.670E+03;8.518E+00;1.630E+04;;;;
;3.175E+03;6.507E+00;3.394E+01;1.141E+00;3.879E+04;7.861E-01;2.498E-04;;;;;5.715E+03;8.107E+00;1.668E+04;;;;
;3.200E+03;6.445E+00;3.234E+01;1.143E+00;3.962E+04;7.877E-01;2.454E-04;;;;;5.760E+03;7.723E+00;1.703E+04;;;;
;3.225E+03;6.387E+00;3.086E+01;1.145E+00;4.041E+04;7.894E-01;2.414E-04;;;;;5.805E+03;7.371E+00;1.737E+04;;;;
;3.250E+03;6.335E+00;2.952E+01;1.147E+00;4.117E+04;7.912E-01;2.375E-04;;;;;5.850E+03;7.051E+00;1.770E+04;;;;
